dataset,n_base_classifiers,n_objetos_gerados,qtde_classifiers,classifier_type,acc1,acc2,acc3,acc4,acc5,acc_mean,time_to_run
load_statlog_vehicle,20,10,6,perceptron,0.6176470588235294,0.5857988165680473,0.6627218934911243,0.6035502958579881,0.6745562130177515,0.6288548555516882,2.7469637393951416
load_statlog_vehicle,20,10,8,perceptron,0.5176470588235295,0.5325443786982249,0.4911242603550296,0.48520710059171596,0.621301775147929,0.5295649147232857,2.82415509223938
load_statlog_vehicle,20,10,10,perceptron,0.6352941176470588,0.6094674556213018,0.5266272189349113,0.6035502958579881,0.591715976331361,0.5933310128785242,2.9145634174346924
load_statlog_vehicle,20,10,20,perceptron,0.6764705882352942,0.6094674556213018,0.5384615384615384,0.6094674556213018,0.5325443786982249,0.5932822833275322,1.071049690246582
load_gamma_telecope,20,10,2,perceptron,0.7394847528916929,0.7765509989484752,0.7415878023133544,0.7778654048370137,0.7815457413249212,0.7634069400630915,51.945058822631836
load_gamma_telecope,20,10,4,perceptron,0.7471083070452156,0.7655099894847529,0.7613038906414301,0.7844374342797056,0.7497371188222923,0.7616193480546792,53.38204526901245
load_gamma_telecope,20,10,6,perceptron,0.7631440588853838,0.7689274447949527,0.7641955835962145,0.7836487907465826,0.7712933753943217,0.7702418506834912,55.262529134750366
load_gamma_telecope,20,10,8,perceptron,0.7531545741324921,0.7789169295478444,0.7602523659305994,0.7726077812828601,0.7413249211356467,0.7612513144058886,56.78296208381653
load_gamma_telecope,20,10,10,perceptron,0.768664563617245,0.7681388012618297,0.7665615141955836,0.7726077812828601,0.7810199789695058,0.7713985278654049,58.82245898246765
load_gamma_telecope,20,10,20,perceptron,0.7649842271293376,0.7605152471083071,0.7494742376445847,0.7271293375394322,0.7849631966351209,0.7574132492113564,18.437854528427124
load_pen_digit_recognition,20,10,2,perceptron,0.81218735788995,0.791268758526603,0.8089171974522293,0.8039126478616925,0.7843494085532302,0.800127074056741,53.93009567260742
load_pen_digit_recognition,20,10,4,perceptron,0.745793542519327,0.7939972714870396,0.6924476797088263,0.7511373976342129,0.7283894449499545,0.7423530672598722,54.935410261154175
load_pen_digit_recognition,20,10,6,perceptron,0.779899954524784,0.749431559799909,0.7779799818016379,0.7761601455868972,0.7438580527752502,0.7654659388976957,55.810324907302856
load_pen_digit_recognition,20,10,8,perceptron,0.7526148249204184,0.7548885857207822,0.7579617834394905,0.7579617834394905,0.8198362147406734,0.7686526384521709,56.864667892456055
load_pen_digit_recognition,20,10,10,perceptron,0.8012733060482037,0.7371532514779445,0.8221110100090991,0.8325750682438581,0.8166515013648772,0.8019528274287964,57.737837076187134
load_pen_digit_recognition,20,10,20,perceptron,0.7812642110050023,0.7594361073215098,0.7556869881710646,0.8102820746132848,0.6960873521383075,0.7605513466498339,13.52232313156128
load_leaf,20,10,2,perceptron,0.3088235294117647,0.35294117647058826,0.20588235294117646,0.3235294117647059,0.2647058823529412,0.29117647058823526,2.6906349658966064
load_leaf,20,10,4,perceptron,0.25,0.2647058823529412,0.16176470588235295,0.17647058823529413,0.3382352941176471,0.23823529411764705,2.706679105758667
load_leaf,20,10,6,perceptron,0.3235294117647059,0.38235294117647056,0.2647058823529412,0.27941176470588236,0.38235294117647056,0.3264705882352941,2.7386183738708496
load_leaf,20,10,8,perceptron,0.3382352941176471,0.27941176470588236,0.35294117647058826,0.36764705882352944,0.38235294117647056,0.34411764705882353,2.7625772953033447
load_leaf,20,10,10,perceptron,0.3235294117647059,0.29411764705882354,0.35294117647058826,0.27941176470588236,0.39705882352941174,0.32941176470588235,2.7872273921966553
load_leaf,20,10,20,perceptron,0.23529411764705882,0.22058823529411764,0.25,0.2647058823529412,0.27941176470588236,0.25,1.4097013473510742
load_accent_recognition,20,10,2,perceptron,0.6363636363636364,0.6515151515151515,0.5909090909090909,0.6363636363636364,0.49230769230769234,0.6014918414918415,1.1630349159240723
load_accent_recognition,20,10,4,perceptron,0.6212121212121212,0.6363636363636364,0.5454545454545454,0.6666666666666666,0.5230769230769231,0.5985547785547786,1.1891427040100098
load_accent_recognition,20,10,6,perceptron,0.6212121212121212,0.5909090909090909,0.5757575757575758,0.6212121212121212,0.6153846153846154,0.6048951048951049,1.224363088607788
load_accent_recognition,20,10,8,perceptron,0.6363636363636364,0.6060606060606061,0.5909090909090909,0.6515151515151515,0.5230769230769231,0.6015850815850816,1.2465746402740479
load_accent_recognition,20,10,10,perceptron,0.6515151515151515,0.6666666666666666,0.5909090909090909,0.5606060606060606,0.5230769230769231,0.5985547785547786,1.2803702354431152
load_accent_recognition,20,10,20,perceptron,0.696969696969697,0.6212121212121212,0.5757575757575758,0.7424242424242424,0.5076923076923077,0.6288111888111889,0.5769956111907959
load_statlog_sattelite_image,20,10,2,perceptron,0.7731157731157731,0.7264957264957265,0.7668997668997669,0.7591297591297591,0.721056721056721,0.7493395493395493,31.83790946006775
