,tree_2,tree_4,tree_6,tree_8,tree_10,tree_20,perceptron_2,perceptron_4,perceptron_6,perceptron_8,perceptron_10,perceptron_20,naive-bayes_2,naive-bayes_4,naive-bayes_6,naive-bayes_8,naive-bayes_10,naive-bayes_20,knn_2,knn_4,knn_6,knn_8,knn_10,knn_20,mix_2,mix_4,mix_6,mix_8,mix_10,mix_20,tree_1,tree_3,tree_5,tree_7,tree_9,perceptron_1,perceptron_3,perceptron_5,perceptron_7,perceptron_9,naive-bayes_1,naive-bayes_3,naive-bayes_5,naive-bayes_7,naive-bayes_9,knn_1,knn_3,knn_5,knn_7,knn_9,mix_1,mix_3,mix_5,mix_7,mix_9,tree_11,tree_12,tree_13,tree_14,tree_15,tree_16,tree_17,tree_18,tree_19,perceptron_11,perceptron_12,perceptron_13,perceptron_14,perceptron_15,perceptron_16,perceptron_17,perceptron_18,perceptron_19,naive-bayes_11,naive-bayes_12,naive-bayes_13,naive-bayes_14,naive-bayes_15,naive-bayes_16,naive-bayes_17,naive-bayes_18,naive-bayes_19,knn_11,knn_12,knn_13,knn_14,knn_15,knn_16,knn_17,knn_18,knn_19,mix_11,mix_12,mix_13,mix_14,mix_15,mix_16,mix_17,mix_18,mix_19
tree_15,0.8200792335171417,0.9,0.9,0.9,0.9,0.9,0.001,0.0019311157567807324,0.002005722246168018,0.00105943015825527,0.0025641058653051996,0.001,0.001,0.0013934772279484697,0.013289898233044273,0.009932840402677168,0.00726765625025616,0.02106213195994977,0.7511602786107032,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8440527129055082,0.9,0.9,0.9,0.9,0.001,0.0043934918656388655,0.001,0.004084578939287042,0.001,0.001,0.008358765309096072,0.024625618734030574,0.005367165663751061,0.0022048634241749188,0.7961066134400644,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.9,0.00229149822714525,0.0013934772279484697,0.004473695520841314,0.0015333665196477497,0.001,0.0022460348516485373,0.001,0.0030355710518440437,0.001,0.025826214237688383,0.013065207778187982,0.008358765309096072,0.017068302773812327,0.0512201375406266,0.008655936353652582,0.006304712022581205,0.0020848694633343046,0.016515303600283193,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
tree_16,0.9,0.9,0.9,0.9,0.9,0.9,0.004727124110169401,0.015456731678984759,0.015976583524435872,0.009117342105579795,0.01975763989331769,0.0043934918656389765,0.006304712022581205,0.011598375410323158,0.07951011279998843,0.062331547836877776,0.04766398358112556,0.11431234229844922,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.0018947802924556,0.03126839077260235,0.0029240440708622195,0.02935277247063639,0.003935339476313637,0.003791952393612519,0.053615106836313875,0.12714864672834514,0.03709421858355133,0.017352894783984274,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.017926702531443683,0.011598375410323158,0.0317669540684441,0.01262955525383358,0.007139424976026709,0.01763827279133834,0.003396693388504457,0.022790533999450302,0.007796500017762442,0.13219796135571382,0.07843375725946222,0.053615106836313875,0.09513759157977852,0.225879242140821,0.05526898855981899,0.042463257862573545,0.016515303600283304,0.09245006412797974,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
tree_17,0.7661413613339878,0.9,0.9,0.9,0.9,0.9,0.001,0.0013668371494910403,0.0014214571507954465,0.001,0.0018244767849907584,0.001,0.001,0.001,0.009765725326187469,0.007267656250256049,0.005271046942989965,0.015714619871007418,0.6972219738386933,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.7901132012847418,0.9,0.9,0.9,0.9,0.001,0.003151297380571294,0.001,0.0029240440708622195,0.001,0.001,0.006084986949851934,0.01852160350662646,0.003864003211837108,0.0015622910331481998,0.7421717352340361,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,0.9,0.9,0.0016243843208675335,0.001,0.0032104139796276243,0.0010808110521577374,0.001,0.0015958466256088544,0.001,0.0021619490751236814,0.001,0.019442224899256733,0.009598552392166226,0.006084986949851934,0.01262955525383358,0.03941306323218019,0.006304712022581205,0.004556477662592595,0.0014758075472297572,0.012207438260859793,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
tree_18,0.9,0.9,0.9,0.9,0.9,0.9,0.004813487741092803,0.015714619871007418,0.01624379864667358,0.00927396679235104,0.020077451296721116,0.004473695520841314,0.006418408208690329,0.011797038255680237,0.08059297446311253,0.06326518249648172,0.04833810998104571,0.1158911410164245,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.0019311157567807324,0.0317669540684441,0.002981090057861291,0.029821397282453255,0.004011193560291004,0.003864003211837108,0.0544344752492294,0.12880195456412247,0.037667975684616994,0.01763827279133834,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,0.9,0.018223026995365266,0.011797038255680237,0.03227070453926251,0.012847078169263781,0.007267656250256049,0.017926702531444683,0.00345854504177856,0.02314893035069232,0.007933883781512163,0.13393879209758908,0.07951011279997577,0.0544344752492294,0.09650912736082495,0.22834067908530098,0.05611155883760455,0.043090941271104355,0.016787985465340216,0.09378446464448464,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
tree_19,0.8949924865793355,0.9,0.9,0.9,0.9,0.9,0.001,0.003094932842915288,0.0032104139796278464,0.001720309617556648,0.004084578939287042,0.001,0.0011461699349744059,0.0022460348516485373,0.020077451296721005,0.015201909440677785,0.011207035982854552,0.03126839077260224,0.8260726410518124,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.001,0.006891630559933581,0.001,0.006418408208690329,0.001,0.001,0.01284707816926367,0.036532106886363214,0.008358765309096072,0.00352135157499045,0.8710197664879016,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,0.0036571787473773654,0.0022460348516485373,0.007016944022291582,0.002471349623486274,0.0013132286636660107,0.00358691274594658,0.001,0.004813487741092803,0.0014471993568415664,0.0382421925853732,0.01975763989331747,0.01284707816926367,0.025415018214431595,0.07419791919561136,0.013289898233044273,0.009765725326187469,0.003331572956982942,0.024625618734030574,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
perceptron_11,0.9,0.8710197664879016,0.6013343890442389,0.04501300804020325,0.15086371480068173,0.007397818141832491,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.6642617107671027,0.19493047412139908,0.15279946499072883,0.06420881307187609,0.013746270482751344,0.9,0.6672552743296456,0.5773625453159714,0.17746101701694383,0.04372566315038051,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.7511602786107032,0.17955970165438484,0.19951858731630157,0.15086371480068173,0.06420881307187609,0.022790533999450302,0.010283050449516606,0.010106486825303351,0.00229149822714525,0.017926702531443683,0.0016243843208675335,0.018223026995365266,0.0036571787473773654,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8110896719021,0.9,0.6642617107671027,0.6492792265857966,0.9,0.7841232597182936,0.9,0.2332770724405302,0.07736278777202099,0.015714619871007418,0.04122417558438807,0.0365321068863631,0.02935277247063639,0.05280735381513102,0.007660519715672609,0.00345854504177856
perceptron_12,0.9,0.793110862704006,0.5234246176047741,0.030300561994744957,0.10965877561906068,0.004641158325724648,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.871019766487902,0.9,0.5863518438241585,0.14308688316175955,0.11119552824977808,0.04372566315040294,0.00880742871216289,0.9,0.5893495842720444,0.49949486908087337,0.12880195456413412,0.02935277247063639,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.6732529252494922,0.13048572066045117,0.1469430134144043,0.10965877561906068,0.04372566315040294,0.01495004538747513,0.006533675653881854,0.006418408208690329,0.0013934772279484697,0.011598375410323158,0.001,0.011797038255680237,0.0022460348516485373,0.9,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8889980116229161,0.7331797024687295,0.8979922667791429,0.5863518438241585,0.5713693760757115,0.8260726410518124,0.7062109347503498,0.8949924865793359,0.17490841012490588,0.05280735381504742,0.010106486825303351,0.027541581647945623,0.024249956436628195,0.019442224899256733,0.035976063836563044,0.004813487741092803,0.0021224971769666645
perceptron_13,0.9,0.9,0.7092100418535012,0.07630114927076015,0.22834067908530098,0.013746270482751344,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.7721345699341695,0.2872960651845641,0.23080695267505702,0.10364408705278283,0.024625618734030574,0.9,0.7751309342165803,0.6852366913648283,0.2644581465462795,0.07419791919564334,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8590348087917222,0.26726769917244864,0.2930891717034254,0.22834067908530098,0.10364408705278283,0.04001207015458974,0.018825027386257243,0.01852160350662646,0.004473695520841314,0.0317669540684441,0.0032104139796276243,0.03227070453926251,0.007016944022291582,0.9,0.9,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.7721345699341695,0.757152924525382,0.9,0.8919977557123421,0.9,0.335109178457655,0.12388832633916536,0.027984406560172204,0.07008579328304243,0.062331547836877776,0.05044397777625187,0.08749858817224343,0.014215691932401353,0.00665161849991458
perceptron_14,0.9,0.8080933730911668,0.5384066959216418,0.03277756686920785,0.11747647222326518,0.005080630873769421,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8860022956597373,0.9,0.6013343890442384,0.15279946499072805,0.11906803680141087,0.046990824968410894,0.009598552392166448,0.9,0.6043304950181523,0.5144340621744385,0.13751060938677173,0.03176695406844421,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.6882339821933925,0.13934062010796433,0.15671224775849824,0.11747647222326518,0.046990824968410894,0.01624379864667358,0.007139424976026931,0.007016944022291582,0.0015333665196477497,0.01262955525383358,0.0010808110521577374,0.012847078169263781,0.002471349623486274,0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.7481643137424328,0.9,0.6013343890442384,0.5863518438241585,0.84105478731336,0.7211932453367318,0.9,0.18383422036569164,0.0569657775231569,0.011017923571799204,0.029821397282453255,0.026247836190061324,0.021062131959949992,0.038823212882099,0.005271046942989965,0.002334559272875625
perceptron_15,0.9,0.7092100418535012,0.43680786362016943,0.019442224899256733,0.07630114927076015,0.0027661256399210687,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.787119453899219,0.9,0.5024476777533997,0.1007383855446694,0.07736278777202099,0.028434292474681655,0.005367165663751061,0.9,0.5054453449237218,0.40813790817505724,0.08983774695391367,0.018825027386257243,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.5893495842720444,0.09113214898648281,0.10364408705278283,0.07630114927076015,0.028434292474681655,0.00927396679235104,0.003935339476313637,0.003864003211837108,0.001,0.007139424976026709,0.001,0.007267656250256049,0.0013132286636660107,0.9,0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8050988830571517,0.6492792265857963,0.8140876288929653,0.5024476777533997,0.48810828198113687,0.7421717352340361,0.6223101512132438,0.8110896719021,0.12499745891822578,0.03488416844672626,0.006192681983527404,0.01763827279133834,0.015456731678984759,0.012207438260859793,0.02314893035069232,0.002871386741983173,0.0012390718520778332
perceptron_16,0.9,0.8680240865510536,0.5983381520894824,0.044368402160809395,0.14890828615043783,0.00726765625025616,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.6612660607072198,0.1926692759172154,0.15086371480068195,0.06326518249648405,0.013515784874639558,0.9,0.6642617107671023,0.5743675924801894,0.17538576209710688,0.04309094127110402,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.7481643137424328,0.17746101701694383,0.19721634286002532,0.14890828615043783,0.06326518249648405,0.022437060526258268,0.010106486825303351,0.009932840402677279,0.0022460348516485373,0.01763827279133834,0.0015958466256088544,0.017926702531444683,0.00358691274594658,0.9,0.9,0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8080933730911668,0.9,0.6612660607072198,0.6462824037458684,0.9,0.7811258658723392,0.9,0.23080695267505613,0.07630114927076015,0.015456731678984537,0.04061412270524667,0.035976063836563044,0.028889581061220637,0.05200611942550337,0.007529150133004481,0.003396693388504457
