dataset,n_base_classifiers,n_pontos_proximos,acc_min,classifier_type,acc1,acc2,acc3,acc4,acc5,acc_mean,time_to_run
load_accent_recognition,20,10,0.6,tree,0.7575757575757576,0.7727272727272727,0.696969696969697,0.8484848484848485,0.7692307692307693,0.7689976689976691,1.5145082473754883
load_accent_recognition,20,10,0.65,tree,0.8484848484848485,0.7121212121212122,0.6515151515151515,0.8636363636363636,0.7538461538461538,0.7659207459207459,1.516653060913086
load_accent_recognition,20,10,0.7,tree,0.7424242424242424,0.7878787878787878,0.6515151515151515,0.7727272727272727,0.8153846153846154,0.7539860139860138,1.471470832824707
load_accent_recognition,20,10,0.75,tree,0.7878787878787878,0.7727272727272727,0.8181818181818182,0.8484848484848485,0.7384615384615385,0.7931468531468532,1.4743640422821045
load_accent_recognition,20,10,0.85,tree,0.7727272727272727,0.803030303030303,0.6666666666666666,0.7878787878787878,0.6923076923076923,0.7445221445221446,1.3968307971954346
load_accent_recognition,20,10,0.95,tree,0.6515151515151515,0.696969696969697,0.6212121212121212,0.6515151515151515,0.7230769230769231,0.6688578088578089,1.3458833694458008
load_electrical_grid_stability,20,10,0.0,knn,0.94,0.9335,941,0.9375,0.9295,0.9362999999999999,521.8930194377899
load_electrical_grid_stability,20,10,0.05,knn,947,0.9375,0.9395,937,0.9315,0.9385,521.7058253288269
load_electrical_grid_stability,20,10,0.1,knn,946,935,0.9415,0.9345,0.9295,0.9372999999999999,522.6822702884674
load_electrical_grid_stability,20,10,0.15,knn,946,932,939,936,935,0.9376000000000001,524.5818250179291
load_electrical_grid_stability,20,10,0.2,knn,948,0.9335,939,0.9415,0.9315,0.9387000000000001,524.1165511608124
load_electrical_grid_stability,20,10,0.25,knn,0.9445,0.9375,942,941,0.9275,0.9385,519.130298614502
load_electrical_grid_stability,20,10,0.3,knn,0.9475,937,0.9415,0.9385,0.9325,0.9394,519.4208762645721
load_electrical_grid_stability,20,10,0.35,knn,944,0.9395,0.9425,939,932,0.9394,519.2588150501251
load_electrical_grid_stability,20,10,0.4,knn,0.9455,936,945,938,934,0.9397,519.1949124336243
load_electrical_grid_stability,20,10,0.45,knn,948,935,0.9395,0.9395,927,0.9378,519.2385199069977
load_electrical_grid_stability,20,10,0.5,knn,943,937,942,942,0.9295,0.9387000000000001,518.9878556728363
load_electrical_grid_stability,20,10,0.55,knn,0.9445,0.9355,0.9385,0.9395,935,0.9385999999999999,518.9325211048126
load_electrical_grid_stability,20,10,0.6,knn,0.9455,936,0.9395,0.9415,937,0.9399,517.9895360469818
load_electrical_grid_stability,20,10,0.65,knn,0.9435,939,0.9415,0.9425,0.9325,0.9398,517.5427112579346
load_electrical_grid_stability,20,10,0.7,knn,0.9465,935,932,0.9355,0.9295,0.9357,515.722437620163
load_electrical_grid_stability,20,10,0.75,knn,945,0.9345,0.9395,0.9375,0.9315,0.9376,521.0070133209229
load_electrical_grid_stability,20,10,0.8,knn,0.9395,931,0.9395,935,0.9305,0.9351,511.1441695690155
load_electrical_grid_stability,20,10,0.85,knn,947,0.9335,0.94,0.9365,0.9325,0.9379,510.540700674057
load_electrical_grid_stability,20,10,0.9,knn,936,0.9265,926,929,0.9225,0.9280000000000002,483.29190945625305
load_electrical_grid_stability,20,10,1.0,knn,0.9025,887,896,894,0.8875,0.8934,407.6484065055847
load_electrical_grid_stability,20,10,0.95,knn,939,934,0.9315,926,0.9245,0.931,485.40431928634644
load_electrical_grid_stability,20,10,0.0,mix,0.9835,0.9865,0.9865,983,983,0.9845,222.48203134536743
load_electrical_grid_stability,20,10,0.05,mix,981,0.9815,982,983,0.9795,0.9814,222.6392126083374
load_electrical_grid_stability,20,10,0.1,mix,983,983,0.9835,0.9835,0.9845,0.9834999999999999,222.45153188705444
load_electrical_grid_stability,20,10,0.15,mix,0.9815,0.9825,0.9825,0.9845,0.9835,0.9829000000000001,222.5556457042694
load_electrical_grid_stability,20,10,0.2,mix,0.9825,983,0.9805,976,986,0.9816,222.46731781959534
load_electrical_grid_stability,20,10,0.25,mix,0.9835,989,0.9855,985,983,0.9852000000000001,222.5871558189392
load_electrical_grid_stability,20,10,0.3,mix,0.9755,0.9785,0.9855,0.9835,984,0.9814,222.36258339881897
load_electrical_grid_stability,20,10,0.35,mix,0.9815,0.98,984,981,0.9815,0.9815999999999999,222.31661653518677
load_electrical_grid_stability,20,10,0.4,mix,0.9825,0.9815,983,0.9795,0.98,0.9812999999999998,221.8644576072693
load_electrical_grid_stability,20,10,0.45,mix,0.9805,981,0.9835,985,983,0.9826,222.14044713974
load_electrical_grid_stability,20,10,0.5,mix,0.9825,982,0.9825,0.9785,983,0.9817,222.20278406143188
load_electrical_grid_stability,20,10,0.55,mix,0.9805,985,0.9815,0.9845,976,0.9815000000000002,221.8793785572052
load_electrical_grid_stability,20,10,0.6,mix,0.9795,0.9825,0.9805,982,0.9805,0.9810000000000001,221.5742383003235
load_electrical_grid_stability,20,10,0.65,mix,0.9815,982,984,977,0.9805,0.9809999999999999,221.55652332305908
load_electrical_grid_stability,20,10,0.7,mix,0.9835,0.9845,0.98,985,983,0.9831999999999999,220.46361708641052
load_electrical_grid_stability,20,10,0.75,mix,0.9805,981,0.9805,985,978,0.9810000000000001,220.35058617591858
load_electrical_grid_stability,20,10,0.8,mix,986,0.9905,988,0.9835,0.9855,0.9867000000000001,216.21042275428772
load_electrical_grid_stability,20,10,0.85,mix,987,0.9905,0.99,0.9895,0.9875,0.9889000000000001,221.04747462272644
load_electrical_grid_stability,20,10,0.9,mix,993,0.9955,998,0.9975,992,0.9952000000000002,207.82967376708984
